image_name,resize_px,jpeg_quality,requested_runs,ok_runs,non_empty_ocr_runs,avg_prompt_tokens,avg_latency_ms,avg_similarity_to_baseline
01.webp,256,40,1,1,1,111,3908.34,0.0631
01.webp,256,50,1,1,1,111,564.72,0.2979
01.webp,256,60,1,1,1,111,473.67,0.383
01.webp,256,70,1,1,1,111,668.97,0.3617
01.webp,256,80,1,1,1,111,3825.33,0.0351
01.webp,384,40,1,1,1,171,637.43,0.8085
01.webp,384,50,1,1,1,171,668.26,0.7872
01.webp,384,60,1,1,1,171,628.05,0.766
01.webp,384,70,1,1,1,171,637.84,0.6809
01.webp,384,80,1,1,1,171,620.64,0.8085
01.webp,512,40,1,1,1,255,644.2,0.9149
01.webp,512,50,1,1,1,255,631.11,0.9574
01.webp,512,60,1,1,1,255,539.11,0.9362
01.webp,512,70,1,1,1,255,640.41,0.9574
01.webp,512,80,1,1,1,255,624.2,0.9149
01.webp,768,40,1,1,1,495,816.32,0.9574
01.webp,768,50,1,1,1,495,742.84,0.9149
01.webp,768,60,1,1,1,495,743.68,0.9149
01.webp,768,70,1,1,1,495,724.35,0.9149
01.webp,768,80,1,1,1,495,740.03,0.9362
01.webp,1024,40,1,1,1,831,930.35,1
01.webp,1024,50,1,1,1,831,935.97,0.9787
01.webp,1024,60,1,1,1,831,954.08,1
01.webp,1024,70,1,1,1,831,906.22,1
01.webp,1024,80,1,1,1,831,970.22,1
02.jpg,256,40,1,1,1,111,3622.25,0
02.jpg,256,50,1,1,1,111,858.27,0.0361
02.jpg,256,60,1,1,1,111,3719.44,0.0036
02.jpg,256,70,1,1,1,111,3710.79,0.0032
02.jpg,256,80,1,1,1,111,3694.19,0.0032
02.jpg,384,40,1,1,1,171,3645.31,0.0151
02.jpg,384,50,1,1,1,171,561.64,0.2169
02.jpg,384,60,1,1,1,171,3657.67,0.0151
02.jpg,384,70,1,1,1,171,3672.6,0.0126
02.jpg,384,80,1,1,1,171,3672.99,0.0126
02.jpg,512,40,1,1,1,239,840.78,0.4096
02.jpg,512,50,1,1,1,239,920.66,0.4699
02.jpg,512,60,1,1,1,239,884.28,0.4699
02.jpg,512,70,1,1,1,239,822.67,0.4578
02.jpg,512,80,1,1,1,239,3724.9,0.0176
02.jpg,768,40,1,1,1,471,1170.93,0.5904
02.jpg,768,50,1,1,1,471,1191.46,0.5783
02.jpg,768,60,1,1,1,471,1379.46,0.8675
02.jpg,768,70,1,1,1,471,1268.31,0.6506
02.jpg,768,80,1,1,1,471,1275.63,0.7143
02.jpg,1024,40,1,1,1,799,1415.73,0.9759
02.jpg,1024,50,1,0,0,,1629.72,0
02.jpg,1024,60,1,1,1,799,8937.15,0.8488
02.jpg,1024,70,1,1,1,799,1037.93,0.7952
02.jpg,1024,80,1,1,1,799,1039.61,1
03.webp,256,40,1,1,0,111,305.68,0
03.webp,256,50,1,1,0,111,250.75,0
03.webp,256,60,1,1,0,111,255.96,0
03.webp,256,70,1,1,0,111,259.71,0
03.webp,256,80,1,1,0,111,242.36,0
03.webp,384,40,1,1,0,171,320.58,0
03.webp,384,50,1,1,1,171,510.69,0.0263
03.webp,384,60,1,1,0,171,336.96,0
03.webp,384,70,1,1,0,171,305.63,0
03.webp,384,80,1,1,0,171,304.49,0
03.webp,512,40,1,1,0,239,351.62,0
03.webp,512,50,1,1,1,239,399.47,0.1316
03.webp,512,60,1,1,1,239,522.14,0.3684
03.webp,512,70,1,1,1,239,393.43,0.1316
03.webp,512,80,1,1,1,239,427.58,0.3158
03.webp,768,40,1,1,1,471,545.85,1
03.webp,768,50,1,1,1,471,552.28,0.9474
03.webp,768,60,1,1,1,471,591.76,1
03.webp,768,70,1,1,1,471,551.17,0.8421
03.webp,768,80,1,1,1,471,559.35,0.9474
03.webp,1024,40,1,1,1,799,705.37,0.8947
03.webp,1024,50,1,1,1,799,668.9,0.9474
03.webp,1024,60,1,1,1,799,700.8,1
03.webp,1024,70,1,1,1,799,712.47,0.9474
03.webp,1024,80,1,1,1,799,706.02,1
